SHG_ID,REGION,FORMATION_YEAR,SHG_AGE_YEARS,GROUP_SIZE,BANK_LINKED,AVG_MONTHLY_SAVINGS,SAVINGS_STD,SAVINGS_REGULARITY_PCT,TOTAL_INTERNAL_LENDING,EMI_MISS_RATE,AVG_REPAYMENT_DELAY,ATTENDANCE_AVG,ATTENDANCE_STD,MEMBER_DROPOUT_RATE,MEETING_REGULARITY,LEADERSHIP_CHANGES,SAVINGS_GROWTH_RATE,LOAN_UTILIZATION_SCORE,LOAN_TO_SAVINGS_RATIO,INCOME_STABILITY_PROXY,ANOMALY_SCORE,SUDDEN_SAVINGS_JUMP,ATTENDANCE_DROP_FLAG,PAST_DEFAULT_FLAG,FINANCIAL_DISCIPLINE_SCORE,STABILITY_SCORE,GROWTH_READINESS_SCORE,BEHAVIORAL_SAFETY_SCORE,FINAL_CREDIT_SCORE
SHG_1000,Rural-North,2022,2,20,0,2897.371322408986,931.9939418114051,83.94633936788146,52152.68380336175,0.1500465533231616,10.063091708839158,60.823379771832094,14.608828078105926,0.09366546884073933,79.12726728878613,3,0.1599025726528951,65.91670111852694,0.9407041084356922,80.59264473611897,0.13949386065204183,0,1,1,99.04169530797824,30.546167324475405,51.21269652197803,51.6303683608775,61.089012873250866
SHG_1001,Rural-South,2020,4,8,1,1937.3249586340742,985.1759613930136,67.98695128633439,13561.27471043852,0.023325748911052706,4.6655355382591965,66.82096494749166,2.8456707088086337,0.07117543341771251,83.20457481218804,2,-0.001184706062088474,69.71061460667622,0.37565474645348046,95.4660201039391,0.2587799816000169,0,1,0,99.52627871248741,54.559142760212794,38.678966064927266,69.47320110399899,69.62957638850862
SHG_1002,Rural-East,2023,1,20,0,2667.090876003804,746.7102793432797,67.39417822102108,24003.817884034237,0.1592300298524152,0.0,70.85396127095584,12.773587618975082,0.023354534695149913,94.06590942262119,3,-0.020179742528091675,99.21321619603104,1.9989384924526465,59.93578407670862,0.005522117123602399,0,1,1,97.32254638681997,45.59147474037974,41.11485267462645,59.66867297258386,66.66067265268279
SHG_1003,Rural-West,2018,6,11,1,1089.5678757098128,906.8573438476171,89.1602867216395,14164.382384227567,0.10480767844741178,1.1249545729282602,72.4392928686265,6.227383186347712,0.1101593182988746,73.58782737814906,3,0.235297914889198,85.64710291701385,1.5348098346528918,88.54835899772806,0.49379559636439074,1,0,0,100.0,51.56006031305426,67.34553285968893,70.37226421813656,74.0513582592138
SHG_1004,Rural-East,2018,6,18,1,2737.2491074631766,627.5410183585496,61.01676506976381,35584.2383970213,0.03734937633132382,0.7935012779589687,90.22204554172194,4.974376151391092,0.044097264975925476,94.24361138693251,3,0.20336150260416935,92.28763541126307,2.068078569178052,59.32850294430179,0.8925589984899778,1,1,1,100.0,73.4889035610156,63.23133300583375,6.4464600906013345,69.22151495650476
SHG_1005,Rural-South,2023,1,11,1,2098.5943651323705,1007.4401551640625,95.84365199693973,23084.538016456077,0.11864530630091329,5.776721662387456,60.27808522124763,8.639714933508355,0.23557865989390225,98.28729111737557,0,0.07928117280830209,71.12743730460197,1.8466417095693914,68.1814801189647,0.9717820827209607,0,1,1,100.0,40.48728090528151,37.417069443202294,1.693075036742357,57.63387914012486
SHG_1006,Rural-South,2015,9,16,0,2268.690514824046,451.78229582536414,79.88994023569542,13612.143088944278,0.10745389593622376,0.04490618538113278,71.14585856946445,13.807456517566498,0.17333262955790715,77.26165814534501,0,0.2188542189623514,85.69717691972306,0.8228025967832793,86.41081743059297,0.3677831327192532,0,1,0,100.0,47.643605566068366,71.09839165304977,62.933012036844815,73.36436651121525
SHG_1007,Rural-South,2020,4,16,0,1565.0575699043743,833.5297107608947,81.43098736299034,26605.97868837436,0.09971596295724168,0.0,85.80691161637799,4.266763577064889,0.14584001891594833,80.23199053150776,3,-0.004610591503764382,95.48161709671376,2.230146577438158,62.89708138575778,0.659984046034179,1,0,1,100.0,65.8531945672622,38.894526658071264,35.40095723794926,68.45568076032949
SHG_1008,Rural-South,2022,2,17,1,2371.2500985095494,755.2008115994623,81.18602313424026,26083.751083605042,0.15273929356947558,0.0,73.96838298450643,11.437423825313111,0.3219126438553752,72.52419894985147,2,0.014651485637845504,93.91325131162475,1.634143931251098,50.45985258083148,0.1014715428660321,1,1,1,100.0,41.36696863991569,45.032977613507526,53.91170742803807,65.41610441153448
SHG_1009,Rural-East,2013,11,17,0,2777.1585675975807,205.0615838462187,66.43232205669995,22217.268540780646,0.3745306264558419,0.0,73.01598792637071,11.704388266534314,0.24949066232093234,72.81024303484277,1,0.0970863212237734,55.91214206090353,0.8367772154339839,98.65052773762227,0.3930977246667604,0,1,0,97.10193361729351,45.991095513692244,38.50342605992305,61.41413651999437,66.89343898465756
SHG_1010,Rural-East,2022,2,10,0,3252.4284679696075,831.1386259972629,91.79245214166593,39029.14161563529,0.5106901714013119,0.0,60.97263865725815,10.391139846793182,0.33306017975357244,97.84955687763176,0,0.1212736593269257,97.99928914262017,2.4199639495963563,92.650472773368,0.2944488920695857,1,1,1,85.38045455248893,35.18086365096344,53.99270100803233,42.333066475824864,57.86843882307928
SHG_1011,Rural-South,2021,3,13,1,3071.2003952736736,1051.136671516857,72.6768802062511,49139.20632437878,0.293759821276298,0.0,84.6002890679668,14.870700051355422,0.13521142981366768,90.91047222985804,2,0.2309936335948437,61.56946907318531,0.9459020573818855,90.46805777392568,0.8101133946791808,1,1,1,86.09233956772329,55.34699181379358,57.09370101623734,11.393196319249157,61.994603386380845
SHG_1012,Rural-West,2018,6,20,1,2541.088687583708,1113.2405525564714,80.4536959544375,22869.798188253375,0.3585181070600194,5.39377694905843,73.51980627406144,6.882578384319272,0.22961874253540068,86.2793390412273,2,0.06461650085131375,75.44999563414065,0.36710054986590873,51.86740943746072,0.8226005606596583,1,0,0,83.94539238220085,50.07596251146229,50.08717308371477,50.64396636042051,61.477781761799434
SHG_1013,Rural-East,2015,9,17,1,2565.499311509058,327.0605126518848,80.88973040219217,38482.48967263587,0.0851351101207062,4.273431039422883,81.62540486440426,10.286588719476685,0.09446304440951878,93.8555858430611,1,0.05833290050482967,66.33828524233817,0.4726040389529851,51.267537170772876,0.9626484146779251,1,0,0,100.0,62.50297662465148,43.02208689435858,42.2410951193245,69.58220652600649
SHG_1014,Rural-West,2022,2,10,1,2853.6592134933853,895.974206093698,76.3581177765708,51365.865842880936,0.15712515137680488,9.672290140525403,71.19735587783771,14.413248648621524,0.20240971041982495,77.43192968503473,0,0.09238907146050461,85.47076662786215,0.3316656749854629,55.80363202534581,0.04600264202175275,0,0,0,97.13169364225702,45.805069082698886,59.71582315209413,97.23984147869484,71.3642890294887
